a0,b1,c2,d3,e4,f5,g6,h7,i8,j9,k10,l11,m12,n13,o14,p15,q16,r17,r18
45,,weapon_sniper,WEAPON_AS50,as50,,menu_mp_weapons_as50,WEAPON_AS50_DESC,silencer swayreduc vzoom dualclip fmj acog_sniper extclip_sniper steadyaim_smg ir,4,51,class_sniper swayreduc vzoom,1,primary,,,,1,
46,,,,,,,,,,,,,,,,,,
47,,weapon_cqb,WEAPON_870MCS,870mcs,,menu_mp_weapons_870mcs,WEAPON_870MCS_DESC,reflex extbarrel dualclip_segmented steadyaim stalker silencer_shotgun extclip_sniper fastads  mms,1,3,class_custom_cqb,1,primary,,,,,
48,,weapon_cqb,WEAPON_SRM1216,srm1216,,menu_mp_weapons_srm,WEAPON_SRM1216_DESC,reflex extbarrel dualclip steadyaim stalker silencer_shotgun extclip_srm fastads  mms,4,51,class_cqb steadyaim,1,primary,,,,1,
49,,weapon_cqb,WEAPON_SAIGA12,saiga12,,menu_mp_weapons_saiga12,WEAPON_SAIGA12_DESC,reflex extbarrel dualclip steadyaim stalker silencer_shotgun extclip_sniper fastads  mms,2,3,,1,primary,,,,1,
50,,weapon_cqb,WEAPON_KSG,ksg,,menu_mp_weapons_ksg,WEAPON_KSG_DESC,reflex extbarrel dualclip_segmented steadyaim stalker silencer_shotgun extclip_sniper fastads  mms,3,33,,1,primary,,,,1,
51,,weapon_cqb,WEAPON_SPAS,spas,,menu_mp_weapons_spas,WEAPON_SPAS_DESC,extbarrel dualclip_segmented silencer extclip,2,3,,1,primary,,,,1,
52,,,,,,,,,,,,,,,,,,
53,,weapon_launcher,WEAPON_SMAW,smaw,1,menu_mp_weapons_smaw,WEAPON_SMAW_DESC,,1,3,class_custom_cqb class_custom_assault class_custom_lmg ,1,secondary,,,,,
54,,weapon_launcher,WEAPON_FHJ18,fhj18,2,menu_mp_weapons_fhj,WEAPON_FHJ18_DESC,,2,3,class_assault,1,secondary,,,,1,
55,,weapon_launcher,WEAPON_USRPG,usrpg,1,menu_mp_weapons_rpg,WEAPON_USRPG_DESC,,3,39,,1,secondary,,,,1,
56,,,,,,,,,,,,,,,,,,
57,,weapon_special,WEAPON_RIOTSHIELD,riotshield,,menu_mp_weapons_riot_shield,WEAPON_RIOTSHIELD_DESC,,1,33,,1,primary,,,,1,
58,,weapon_special,WEAPON_CROSSBOW,crossbow,,menu_mp_weapons_crossbow,WEAPON_CROSSBOW_DESC,reflex acog ir_crossbow vzoom stackfire,1,24,class_cqb,1,secondary,,,,1,
59,,weapon_special,WEAPON_KNIFE_BALLISTIC,knife_ballistic,1,menu_mp_weapons_ballistic_knife,WEAPON_KNIFE_BALLISTIC_DESC,,2,48,,1,secondary,,,,1,
60,,,,,,,,,,,,,,,,,,
61,,weapon_launcher,WEAPON_M32,m32,2,menu_mp_weapons_xm25,WEAPON_M32_DESC,,,,,-1,secondary,,,,,
62,,,,,,,,,,,,,,,,,,
63,,weapon_grenade,WEAPON_FRAGGRENADE,frag_grenade,1,hud_grenadeicon,WEAPON_FRAGGRENADE_DESC,,1,3,class_custom_assault class_custom_smg class_custom_lmg class_custom_cqb class_custom_sniper class_assault,1,primarygrenade,,,,,
64,,weapon_grenade,WEAPON_HATCHET,hatchet,1,hud_hatchet,WEAPON_HATCHET_DESC,,3,16,class_cqb,1,primarygrenade,,,,1,
65,,weapon_grenade,WEAPON_STICKY_GRENADE,sticky_grenade,1,hud_icon_sticky_grenade,WEAPON_STICKY_GRENADE_DESC,,2,3,class_lmg,1,primarygrenade,,,,1,
66,,weapon_grenade,WEAPON_SATCHEL_CHARGE,satchel_charge,1,hud_icon_satchelcharge,PLATFORM_SATCHEL_CHARGE_DESC,,5,40,class_smg,1,primarygrenade,,,,1,
67,,weapon_grenade,WEAPON_BOUNCINGBETTY,bouncingbetty,1,hud_bounce_betty,WEAPON_BOUNCINGBETTY_DESC,,4,27,class_sniper,1,primarygrenade,,,,1,
68,,weapon_grenade,WEAPON_CLAYMORE,claymore,1,hud_icon_claymore,WEAPON_CLAYMORE_DESC,,6,52,,1,primarygrenade,,,,1,
69,,,,,,,,,,,,,,,,,,
70,,weapon_grenade,WEAPON_WILLY_PETE,willy_pete,1,hud_us_smokegrenade,WEAPON_WILLY_PETE_DESC,,2,3,class_smg,1,specialgrenade,,,,1,
71,,weapon_grenade,WEAPON_STUN_GRENADE,concussion_grenade,1,hud_us_stungrenade,WEAPON_STUN_GRENADE_DESC,,1,3,class_custom_assault 2 class_custom_smg 2 class_custom_lmg 2 class_custom_cqb 2 class_custom_sniper 2,1,specialgrenade,,,,,
72,,weapon_grenade,WEAPON_EMPGRENADE,emp_grenade,1,hud_empgrenade,WEAPON_EMPGRENADE_DESC,,4,10,,1,specialgrenade,,,,1,
73,,weapon_grenade,WEAPON_SENSOR_GRENADE,sensor_grenade,1,hud_sensor_grenade,WEAPON_SENSOR_GRENADE_DESC,,3,5,class_sniper,1,specialgrenade,,,,1,
74,,weapon_grenade,WEAPON_FLASHBANG,flash_grenade,1,hud_us_flashgrenade,WEAPON_FLASHBANG_DESC,,7,28,,1,specialgrenade,,,,1,
75,,weapon_grenade,WEAPON_PROXIMITY_GRENADE,proximity_grenade,1,hud_proximitymine,WEAPON_PROXIMITY_GRENADE_DESC,,5,22,class_assault 2,1,specialgrenade,,,,1,
76,,weapon_grenade,WEAPON_PDA_HACK,pda_hack,1,hud_uav_radio,WEAPON_PDA_HACK_DESC,,6,24,,1,specialgrenade,,,,1,
77,,weapon_grenade,WEAPON_TACTICAL_INSERTION,tactical_insertion,1,hud_tact_insert,WEAPON_TACTICAL_INSERTION_DESC,,9,46,class_cqb,1,specialgrenade,,,,1,
78,,weapon_grenade,WEAPON_TROPHY_SYSTEM,trophy_system,1,hud_trophy_system,WEAPON_TROPHY_SYSTEM_DESC,,8,34,class_lmg,1,specialgrenade,,,,1,
79,,,,,,,,,,,,,,,,,,
80,,,,,,,,,,,,,,,,,,
81,,weapon_special,WEAPON_KNIFE_HELD,knife_held,,combat_tab_knife,WEAPON_KNIFE_HELD_DESC,,,,,-1,secondary,,,,,
82,,weapon_special,WEAPON_MINIGUN,minigun,,menu_mp_weapons_xm25,WEAPON_MINIGUN_DESC,,,,,-1,primary,,,,,
83,,,,,,,,,,,,,,,,,,
84,,miscweapon,WEAPON_KNIFE,knife,,combat_tab_knife,,,,,,,,,,,,
85,,,,,,,,,,,,,,,,,,
86,,,,,,,,,,,,,,,,,,
87,,,,,,,,,,,,,,,,,,
88,,,,,,,,,,,,,,,,,,
89,,,,,,,,,,,,,,,,,,
90,,,,,,,,,,,,,,,,,,
91,,,,,,,,,,,,,,,,,,
92,,,,,,,,,,,,,,,,,,
93,,,,,,,,,,,,,,,,,,
94,,,,,,,,,,,,,,,,,,
95,,,,,,,,,,,,,,,,,,
96,,,,,,,,,,,,,,,,,,
97,,,,,,,,,,,,,,,,,,
98,,,,,,,,,,,,,,,,,,
99,,,,,,,,,,,,,,,,,,
100,,,,,,,,,,,,,,,,,,
101,,,,,,,,,,,,,,,,,,
102,,,,,,,,,,,,,,,,,,
103,,,,,,,,,,,,,,,,,,
104,,,,,,,,,,,,,,,,,,
105,,,,,,,,,,,,,,,,,,
106,,,,,,,,,,,,,,,,,,
107,,,,,,,,,,,,,,,,,,
108,,,,,,,,,,,,,,,,,,
109,,,,,,,,,,,,,,,,,,
110,,,,,,,,,,,,,,,,,,
111,,,,,,,,,,,,,,,,,,
112,,,,,,,,,,,,,,,,,,
113,,,,,,,,,,,,,,,,,,
114,,,,,,,,,,,,,,,,,,
115,,,,,,,,,,,,,,,,,,
116,,,,,,,,,,,,,,,,,,
117,,,,,,,,,,,,,,,,,,
118,,,,,,,,,,,,,,,,,,
119,,,,,,,,,,,,,,,,,,
120,,,,,,,,,,,,,,,,,,
121,,,,,,,,,,,,,,,,,,
122,,,,,,,,,,,,,,,,,,
123,,,,,,,,,,,,,,,,,,
124,,,,,,,,,,,,,,,,,,
125,,,,,,,,,,,,,,,,,,
126,,,,,,,,,,,,,,,,,,
127,,,,,,,,,,,,,,,,,,
128,,,,,,,,,,,,,,,,,,
129,,,,,,,,,,,,,,,,,,
130,,,,,,,,,,,,,,,,,,
131,,weapon_grenadelauncher,WEAPON_GRENADELAUNCHER,weapon_grenadelauncher,,menu_mp_weapons_attach_gl_hirez,,,,,,,,,,,,
132,,,,,,,,,,,,,,,,,,
133,,,,,,,,,,,,,,,,,,
134,,,,,,,,,,,,,,,,,,
135,,,,,,,,,,,,,,,,,,
136,,,,,,,,,,,,,,,,,,
137,,,,,,,,,,,,,,,,,,
138,,,,,,,,,,,,,,,,,,
139,,,,,,,,,,,,,,,,,,
140,,,,,,,,,,,,,,,,,,
141,,,,,,,,,,,,,,,,,,
142,,,,,,,,,,,,,,,,,,
143,,,,,,,,,,,,,,,,,,
144,,,,,,,,,,,,,,,,,,
145,,,,,,,,,,,,,,,,,,
146,,,,,,,,,,,,,,,,,,
147,,,,,,,,,,,,,,,,,,
a0,b1,c2,d3,e4,f5,g6,h7,i8,j9,k10,l11,m12,n13,o14,p15,,,
148,,specialty,PERKS_LIGHTWEIGHT,specialty_movefaster|specialty_fallheight,,perk_lightweight,PERKS_LIGHTWEIGHT_DESC,,1,3, class_custom_assault class_custom_smg class_custom_lmg class_custom_cqb class_custom_sniper class_cqb,1,specialty1,,,,,
149,,specialty,PERKS_FLAK_JACKET,specialty_flakjacket,,perk_flak_jacket,PERKS_FLAK_JACKET_DESC,,4,31,class_assault,1,specialty1,,,,1,
150,,specialty,PERKS_BLIND_EYE,specialty_nottargetedbyairsupport,,perk_blind_eye,PERKS_BLIND_EYE_DESC,,3,4,class_lmg,1,specialty1,,,,1,
151,,specialty,PERKS_HARDLINE,specialty_earnmoremomentum,,perk_hardline,PERKS_HARDLINE_DESC,,2,3,class_sniper,1,specialty1,,,,1,
152,,specialty,PERKS_GHOST,specialty_gpsjammer,,perk_ghost,PERKS_GHOST_DESC,,5,54,class_smg,1,specialty1,,,,1,
153,,specialty,PERKS_HARD_WIRED,specialty_immunecounteruav|specialty_immuneemp,,perk_hardwired,PERKS_HARD_WIRED_DESC,,4,25,class_sniper,1,specialty2,,,,1,
154,,specialty,PERKS_SCAVENGER,specialty_scavenger,,perk_scavenger,PERKS_SCAVENGER_DESC,,5,43,class_smg,1,specialty2,,,,1,
155,,specialty,PERKS_COLD_BLOODED,specialty_immunenvthermal|specialty_noname|specialty_immunerangefinder|specialty_nokillstreakreticle|specialty_immunemms|specialty_nomotionsensor,,perk_cold_blooded,PERKS_COLD_BLOODED_DESC,,2,3,class_lmg,1,specialty2,,,,1,
156,,specialty,PERKS_FAST_HANDS,specialty_fastweaponswitch|specialty_pin_back|specialty_fasttoss|specialty_fastequipmentuse,,perk_fast_hands,PERKS_FAST_HANDS_DESC,,3,7,class_cqb,1,specialty2,,,,1,
157,,specialty,PERKS_TOUGHNESS,specialty_bulletflinch,,perk_warrior,PERKS_TOUGHNESS_DESC,,1,3,class_custom_assault class_custom_smg class_custom_lmg class_custom_cqb class_custom_sniper class_assault,1,specialty2,,,,,
158,,specialty,PERKS_DEXTERITY,specialty_fastmantle|specialty_fastladderclimb|specialty_sprintrecovery|specialty_fastmeleerecovery,,perk_dexterity,PERKS_DEXTERITY_DESC,,1,3, class_custom_assault class_custom_smg class_custom_lmg class_custom_cqb class_custom_sniper class_cqb,1,specialty3,,,,,
159,,specialty,PERKS_HACKER,specialty_showenemyequipment|specialty_delayexplosive,,perk_hacker,PERKS_HACKER_DESC,,3,13,class_lmg,1,specialty3,,,,1,
160,,specialty,PERKS_NINJA,specialty_quieter,,perk_ninja,PERKS_NINJA_DESC,,5,37,class_smg,1,specialty3,,,,1,
161,,specialty,PERKS_EXTREME_CONDITIONING,specialty_longersprint,,perk_marathon,PERKS_EXTREME_CONDITIONING_DESC,,2,3,class_cqb,1,specialty3,,,,1,
162,,specialty,PERKS_TACTICAL_MASK,specialty_stunprotection|specialty_flashprotection|specialty_proximityprotection,,perk_tactical_mask,PERKS_TACTICAL_MASK_DESC,,4,19,class_assault,1,specialty3,,,,1,
163,,specialty,PERKS_AWARENESS,specialty_loudenemies,,perk_awareness,PERKS_AWARENESS_DESC,,6,49,class_sniper,1,specialty3,,,,1,
164,,,,,,,,,,,,,,,,,,
165,,,,,, ,,,,,,,,,,,,
166,,,,,,,,,,,,,,,,,,
167,,,,,,,,,,,,,,,,,,
168,,,,,,,,,,,,,,,,,,
169,,,,,,,,,,,,,,,,,,
170,,,,,,,,,,,,,,,,,,
171,,,,,,,,,,,,,,,,,,
172,,,,,,,,,,,,,,,,,,
173,,,,,,,,,,,,,,,,,,
174,,,,,,,,,,,,,,,,,,
175,,,,,,,,,,,,,,,,,,
176,,,,,,,,,,,,,,,,,,
177,,,,,,,,,,,,,,,,,,
178,,bonuscard,BONUSCARD_PRIMARY_GUNFIGHTER,bonuscard_primary_gunfighter,,menu_mp_bonuscard_primary_gunfighter,MENU_BONUSCARD_PRIMARY_GUNFIGHTER_DESC,,6,21,class_lmg,1,bonuscard1,,,,1,
179,,bonuscard,BONUSCARD_SECONDARY_GUNFIGHTER,bonuscard_secondary_gunfighter,,menu_mp_bonuscard_secondary_gunfighter,MENU_BONUSCARD_SECONDARY_GUNFIGHTER_DESC,,5,18,,1,bonuscard2,,,,1,
180,,bonuscard,BONUSCARD_OVERKILL,bonuscard_overkill,,menu_mp_bonuscard_overkill,MENU_BONUSCARD_OVERKILL_DESC,,4,15,,1,bonuscard3,,,,1,
181,,bonuscard,BONUSCARD_PERK_1_GREED,bonuscard_perk_1_greed,,menu_mp_bonuscard_perk_1_greed,MENU_BONUSCARD_PERK_1_GREED_DESC,,1,3,,1,bonuscard5,,,,1,
182,,bonuscard,BONUSCARD_PERK_2_GREED,bonuscard_perk_2_greed,,menu_mp_bonuscard_perk_2_greed,MENU_BONUSCARD_PERK_2_GREED_DESC,,2,9,,1,bonuscard6,,,,1,
183,,bonuscard,BONUSCARD_PERK_3_GREED,bonuscard_perk_3_greed,,menu_mp_bonuscard_perk_3_greed,MENU_BONUSCARD_PERK_3_GREED_DESC,,3,12,class_cqb,1,bonuscard7,,,,1,
184,,bonuscard,BONUSCARD_DANGER_CLOSE,bonuscard_danger_close,,menu_mp_bonuscard_danger_close,MENU_BONUSCARD_DANGER_CLOSE_DESC,,8,27,,1,bonuscard4,,,,1,
185,,bonuscard,BONUSCARD_TWO_TACTICALS,bonuscard_two_tacticals,,menu_mp_bonuscard_two_tacticals,MENU_BONUSCARD_TWO_TACTICALS_DESC,,7,24,,1,bonuscard1,,,,1,
186,,,,,,,,,,,,,,,,,,
187,,,,,,,,,,,,,,,,,,
188,,,,,,,,,,,,,,,,,,
189,,,,,,,,,,,,,,,,,,
190,,,,,,,,,,,,,,,,,,
191,,,,,,,,,,,,,,,,,,
192,,,,,,,,,,,,,,,,,,
193,,miscweapon,WEAPON_DESTRUCTIBLE_CAR,destructible_car,,destructible_car,,,,,,,,,,,,
194,,specialty,PERKS_NONE,specialty_null,,perk_null,,,,,,-1,,,,,,
195,,,,,,,,,,,,,,,,,,
196,,,,,,,,,,,,-1,,,,,,
197,,killstreak,KILLSTREAK_NULL,killstreak_null,,killstreak_null,,,,,,-1,,,,,,
198,,killstreak,KILLSTREAK_RCBOMB,killstreak_rcbomb,,hud_ks_rcbomb,KILLSTREAK_RCBOMB_DESC,,,17,,0,killstreak2,,,450,1,
199,passive,killstreak,KILLSTREAK_RECON,killstreak_spyplane,,hud_ks_u2_spyplane,KILLSTREAK_RECON_DESC,,,0,all,0,killstreak1,,,425,,
200,,killstreak,KILLSTREAK_MISSILE_DRONE,killstreak_missile_drone,,hud_ks_harpy_single,KILLSTREAK_MISSILE_DRONE_DESC,, ,6,,0,killstreak1,,,525,1,
201,passive,killstreak,KILLSTREAK_COUNTER_UAV,killstreak_counteruav,,hud_ks_counter_uav,KILLSTREAK_COUNTER_UAV_DESC,,,32,,0,killstreak3,,,600,1,
202,,killstreak,KILLSTREAK_SUPPLY_DROP,killstreak_supply_drop,,hud_ks_supply_drop,KILLSTREAK_SUPPLY_DROP_DESC,,,6, ,0,killstreak3,,,550,1,
203,,killstreak,KILLSTREAK_MICROWAVE_TURRET,killstreak_microwave_turret,,hud_ks_microwave_turret,KILLSTREAK_MICROWAVE_TURRET_DESC,,,14,,0,killstreak1,,,650,1,
204,,killstreak,KILLSTREAK_REMOTE_MISSILE,killstreak_remote_missile,,hud_ks_predator,KILLSTREAK_REMOTE_MISSILE_DESC,,,23,,0,killstreak1,,,700,1,
205,,killstreak,KILLSTREAK_PLANEMORTAR,killstreak_planemortar,,hud_ks_planemortar,KILLSTREAK_PLANEMORTAR_DESC,,,0,all,0,killstreak3,,,750,,
206,,,,,,,,,,,,,,,,,,
207,,killstreak,KILLSTREAK_AUTO_TURRET,killstreak_auto_turret,,hud_ks_auto_turret,KILLSTREAK_AUTO_TURRET_DESC,,,8,,0,killstreak2,,,800,1,
208,,killstreak,KILLSTREAK_MINIGUN_DROP,killstreak_minigun,,hud_ks_minigun,KILLSTREAK_MINIGUN_DESC,,,35,,0,killstreak1,,,850,1,
209,,killstreak,KILLSTREAK_M32_DROP,killstreak_m32,,hud_ks_m32,KILLSTREAK_M32_DESC,,,44,,0,killstreak1,,,900,1,
210,,killstreak,KILLSTREAK_QRDRONE,killstreak_qrdrone,,hud_ks_qr_drone,KILLSTREAK_QRDRONE_DESC,,,0,all,0,killstreak1,,,975,,
211,,killstreak,KILLSTREAK_AI_TANK_DROP,killstreak_ai_tank_drop,,hud_ks_talon,KILLSTREAK_AI_TANK_DESC,,,26,,0,killstreak1,,,1000,1,
212,,killstreak,KILLSTREAK_HELICOPTER_COMLINK,killstreak_helicopter_comlink,,hud_ks_ai_helicopter,KILLSTREAK_HELICOPTER_COMLINK_DESC,,,20,,0,killstreak3,,,1100,1,
213,passive,killstreak,KILLSTREAK_SATELLITE,killstreak_spyplane_direction,,hud_ks_spy_sat,KILLSTREAK_SATELLITE_DESC,,,41,,0,killstreak3,,,1200,1,
214,,killstreak,KILLSTREAK_HELICOPTER_GUARD,killstreak_helicopter_guard,,hud_ks_littlebird,KILLSTREAK_HELICOPTER_GUARD_DESC,,,47,,0,killstreak3,,,1250,1,
215,,killstreak,KILLSTREAK_STRAFERUN,killstreak_straferun,,hud_ks_straferun,KILLSTREAK_STRAFERUN_DESC,,,29,,0,killstreak1,,,1400,1,
216,passive,killstreak,KILLSTREAK_EMP,killstreak_emp,,hud_ks_emp,KILLSTREAK_EMP_DESC,,,38,,0,killstreak1,,,1300,1,
